date,oven_id,layer_id,accumulation_hour,anomaly_total_number,lamp_id
2022/5/4,1B0,3,7792.0,,
2022/5/6,1B0,3,7817.0,3.0,21_81_107
2022/6/11,1B0,3,8502.0,2.0,65_76
2022/6/2,1B0,3,8312.0,,
2022/6/20,1B0,3,8642.0,3.0,9_24_40
2022/6/30,1B0,3,8815.0,,
2022/7/18,1B0,3,7003.0,2.0,64_91
2022/7/30,1B0,3,9148.0,,
2022/7/4,1B0,3,8820.0,2.0,45_78
2022/8/15,1B0,3,17511.0,3.0,12_80_105
2022/8/6,1B0,3,9172.0,2.0,92_103
2022/9/1,1B0,3,9430.0,,
2022/1/4,1B0,4,4822.0,1.0,31
2022/3/10,1B0,4,6045.0,1.0,65
2022/3/15,1B0,4,6148.0,2.0,77_78
2022/3/21,1B0,4,6222.0,1.0,21
2022/3/4,1B0,4,5959.0,1.0,84
2022/4/1,1B0,4,6445.0,2.0,12_28
2022/4/14,1B0,4,6632.0,2.0,10_82
2022/4/24,1B0,4,6829.0,1.0,80
2022/4/26,1B0,4,6846.0,1.0,112
2022/5/13,1B0,4,7029.0,1.0,117
2022/5/15,1B0,4,7064.0,1.0,109
2022/5/25,1B0,4,7223.0,1.0,106
2022/5/28,1B0,4,7260.0,1.0,57
2022/5/4,1B0,4,6942.0,,
2022/6/16,1B0,4,7606.0,1.0,26
2022/6/2,1B0,4,7367.0,,
2022/6/25,1B0,4,7755.0,2.0,114_116
2022/6/30,1B0,4,7820.0,,
2022/6/7,1B0,4,7450.0,1.0,102
2022/6/9,1B0,4,7487.0,1.0,16
2022/7/12,1B0,4,7935.0,1.0,38
2022/7/30,1B0,4,8136.0,,
2022/7/5,1B0,4,7852.0,2.0,40_43
2022/8/15,1B0,4,8264.0,,
2022/8/6,1B0,4,8136.0,2.0,9_49
2022/9/1,1B0,4,8425.0,,
2055/5/27,1B0,4,7254.0,1.0,107
2021/12/27,1B0,5,5116.0,2.0,26_49
2022/1/9,1B0,5,5394.0,3.0,24_96_102
2022/2/10,1B0,5,5983.0,2.0,45_85
2022/2/27,1B0,5,6171.0,3.0,85_88_108
2022/3/21,1B0,5,6573.0,3.0,34_63_95
2022/4/14,1B0,5,6996.0,2.0,39_89
2022/4/3,1B0,5,6824.0,2.0,72_113
2022/5/2,1B0,5,7333.0,2.0,68_105
2022/5/4,1B0,5,7361.0,,
2022/5/6,1B0,5,7392.0,3.0,23_107_115
2022/6/14,1B0,5,8127.0,3.0,15_21_100
2022/6/18,1B0,5,8163.0,3.0,1_25_43
2022/6/2,1B0,5,7931.0,,
2022/6/20,1B0,5,8221.0,3.0,109_111_121
2022/6/28,1B0,5,8345.0,3.0,66_67_78
2022/6/30,1B0,5,8369.0,,
2022/6/4,1B0,5,7941.0,3.0,10_28_91
2022/7/30,1B0,5,17363.0,2.0,22_88
2022/7/8,1B0,5,8462.0,4.0,51_86_87_88
2022/8/15,1B0,5,8872.0,,
2022/9/1,1B0,5,9027.0,,
2022/1/9,1B0,6,5284.0,2.0,79_110
2022/3/4,1B0,6,6411.0,4.0,10_30_89_105
2022/4/22,1B0,6,7399.0,3.0,19_30_43
2022/4/29,1B0,6,7534.0,4.0,27_32_63_117
2022/5/17,1B0,6,7876.0,3.0,24_41_87
2022/5/4,1B0,6,7622.0,,
2022/6/15,1B0,6,8458.0,2.0,15_96
2022/6/2,1B0,6,8209.0,,
2022/6/27,1B0,6,8343.0,4.0,35_106_108_111
2022/6/30,1B0,6,8705.0,,
2022/6/4,1B0,6,8239.0,3.0,25_83_92
2022/7/30,1B0,6,9084.0,,
2022/8/15,1B0,6,9250.0,,
2022/8/24,1B0,6,9326.0,3.0,31_55_82
2022/9/1,1B0,6,9389.0,,
2022/1/4,1B0,7,5011.0,3.0,59_89_109
2022/2/27,1B0,7,6042.0,3.0,50_81_100
2022/4/3,1B0,7,6782.0,3.0,40_52_115
2022/5/17,1B0,7,7614.0,3.0,24_68_117
2022/5/25,1B0,7,8032.0,2.0,77_100
2022/5/4,1B0,7,7344.0,,
2022/6/11,1B0,7,8114.0,3.0,64_97_104
2022/6/2,1B0,7,7934.0,,
2022/6/22,1B0,7,8039.0,3.0,10_17_51
2022/6/30,1B0,7,8444.0,,
2022/7/14,1B0,7,8558.0,1.0,107
2022/7/18,1B0,7,8659.0,1.0,17
2022/7/30,1B0,7,8762.0,,
2022/7/5,1B0,7,8472.0,2.0,82_96
2022/8/15,1B0,7,8923.0,,
2022/8/22,1B0,7,8956.0,3.0,43_87_112
2022/8/30,1B0,7,9056.0,3.0,25_70_118
2022/9/1,1B0,7,9061.0,,
2022/2/27,1B0,8,6344.0,3.0,12_56_111
2022/2/3,1B0,8,5940.0,3.0,100_113_117
2022/4/18,1B0,8,7270.0,3.0,8_41_58
2022/4/29,1B0,8,7469.0,3.0,5_53_85
2022/4/7,1B0,8,7096.0,3.0,19_15_115
2022/5/17,1B0,8,7774.0,3.0,13_55_118
2022/5/21,1B0,8,7846.0,3.0,17_110_119
2022/5/4,1B0,8,7562.0,,
2022/5/9,1B0,8,7624.0,2.0,87_106
2022/6/11,1B0,8,8266.0,3.0,49_95_105
2022/6/2,1B0,8,8102.0,,
2022/6/20,1B0,8,8391.0,2.0,34_45
2022/6/24,1B0,8,8459.0,3.0,21_92_121
2022/6/30,1B0,8,8541.0,,
2022/6/9,1B0,8,8221.0,2.0,26_79
2022/7/30,1B0,8,8891.0,,
2022/7/7,1B0,8,7706.0,3.0,6_37_48
2022/8/10,1B0,8,8955.0,2.0,35_36
2022/8/15,1B0,8,9031.0,,
2022/8/30,1B0,8,9161.0,3.0,32_43_29
2022/9/1,1B0,8,9166.0,,
2022/1/14,1B0,9,5235.0,1.0,72
2022/4/11,1B0,9,7002.0,2.0,15_39
2022/4/20,1B0,9,7147.0,2.0,62_54
2022/4/22,1B0,9,7183.0,2.0,1_23
2022/5/21,1B0,9,7722.0,3.0,21_28_87
2022/5/28,1B0,9,7867.0,2.0,72_73
2022/5/29,1B0,9,7876.0,2.0,6_31
2022/5/4,1B0,9,7407.0,,
2022/5/9,1B0,9,7483.0,2.0,50_113
2022/6/10,1B0,9,8119.0,2.0,24_102
2022/6/11,1B0,9,8136.0,3.0,10_59_108
2022/6/15,1B0,9,8203.0,2.0,66_90
2022/6/17,1B0,9,8233.0,2.0,34_81
2022/6/2,1B0,9,7966.0,,
2022/6/30,1B0,9,8455.0,,
2022/6/9,1B0,9,8100.0,1.0,106
2022/7/30,1B0,9,8794.0,,
2022/7/8,1B0,9,8547.0,2.0,5_20
2022/8/10,1B0,9,8842.0,2.0,70_79
2022/8/15,1B0,9,8917.0,,
2022/8/30,1B0,9,9047.0,2.0,13_64
2022/9/1,1B0,9,9052.0,,
2022/1/25,1B0,10,5628.0,3.0,23_28_36
2022/4/28,1B0,10,7488.0,3.0,60_75_93
2022/5/18,1B0,10,7822.0,3.0,79_113_116
2022/5/21,1B0,10,7879.0,3.0,13_76_101
2022/5/4,1B0,10,15130.0,3.0,15_37_117
2022/6/14,1B0,10,8335.0,3.0,58_86_88
2022/6/2,1B0,10,8129.0,,
2022/6/30,1B0,10,8616.0,,
2022/6/6,1B0,10,8171.0,3.0,21_97_104
2022/7/30,1B0,10,8969.0,,
2022/8/15,1B0,10,9123.0,,
2022/8/3,1B0,10,8966.0,3.0,10_24_56
2022/9/1,1B0,10,9274.0,,
2022/1/29,1B0,11,5722.0,3.0,7_45_46
2022/1/4,1B0,11,5226.0,2.0,32_81
2022/3/21,1B0,11,6758.0,3.0,12_52_67
2022/3/26,1B0,11,6842.0,3.0,56_109_106
2022/3/4,1B0,11,6403.0,3.0,36_48_86
2022/4/26,1B0,11,7340.0,3.0,20_55_60
2022/4/9,1B0,11,7069.0,3.0,13_114_115
2022/5/15,1B0,11,7705.0,3.0,23_39_70
2022/5/30,1B0,11,7992.0,1.0,108
2022/5/31,1B0,11,7998.0,2.0,65_68
2022/5/4,1B0,11,7497.0,,
2022/6/14,1B0,11,8222.0,3.0,24_43_81
2022/6/2,1B0,11,8045.0,,
2022/6/22,1B0,11,8358.0,2.0,51_118
2022/6/30,1B0,11,8491.0,,
2022/6/6,1B0,11,8103.0,3.0,31_54_102
2022/7/12,1B0,11,8621.0,2.0,28_34
2022/7/18,1B0,11,8692.0,3.0,50_65_111
2022/7/30,1B0,11,8830.0,,
2022/8/15,1B0,11,17951.0,3.0,18_76_92
2022/9/1,1B0,11,9130.0,,
2022/1/4,1B0,12,5129.0,3.0,47_87_110
2022/2/19,1B0,12,6050.0,3.0,64_77_79
2022/3/26,1B0,12,6771.0,2.0,54_17
2022/4/16,1B0,12,7108.0,3.0,100_51_42
2022/5/15,1B0,12,7668.0,2.0,36_107
2022/5/2,1B0,12,7417.0,2.0,34_40
2022/5/31,1B0,12,7982.0,3.0,31_45_55
2022/5/4,1B0,12,7455.0,,
2022/6/2,1B0,12,8031.0,,
2022/6/23,1B0,12,8434.0,2.0,27_119
2022/6/30,1B0,12,8544.0,,
2022/7/30,1B0,12,17599.0,2.0,24_28
2022/7/4,1B0,12,8554.0,2.0,5_116
2022/8/15,1B0,12,8976.0,,
2022/8/29,1B0,12,9092.0,3.0,66_89_91
2022/8/6,1B0,12,8853.0,2.0,75_89
2022/9/1,1B0,12,9120.0,,
2022/2/3,1B0,13,6742.0,3.0,26_58_106
2022/3/15,1B0,13,6557.0,3.0,10_49_83
2022/4/26,1B0,13,7332.0,3.0,36_17_66
2022/5/30,1B0,13,7972.0,3.0,40_43_46
2022/5/4,1B0,13,7487.0,,
2022/6/2,1B0,13,8086.0,,
2022/6/23,1B0,13,8486.0,3.0,42_93_107
2022/6/30,1B0,13,8595.0,,
2022/7/30,1B0,13,8926.0,,
2022/8/15,1B0,13,9083.0,,
2022/8/3,1B0,13,8922.0,3.0,6_85_121
2022/9/1,1B0,13,9234.0,,
2002/5/14,1B0,14,7512.0,4.0,18_20_37_57
2022/2/3,1B0,14,5620.0,2.0,60_109
2022/3/23,1B0,14,6612.0,3.0,28_78_93
2022/4/18,1B0,14,7025.0,3.0,24_67_75
2022/4/9,1B0,14,6897.0,3.0,40_75_110
2022/5/4,1B0,14,7322.0,,
2022/6/10,1B0,14,8023.0,3.0,42_92_108
2022/6/16,1B0,14,8118.0,3.0,2_22_59
2022/6/2,1B0,14,15792.0,3.0,5_34_38
2022/6/27,1B0,14,8361.0,3.0,36_65_83
2022/6/30,1B0,14,8333.0,,
2022/6/6,1B0,14,7959.0,3.0,26_45_74
2022/7/30,1B0,14,8694.0,,
2022/8/10,1B0,14,8720.0,3.0,9_79_112
2022/8/15,1B0,14,8846.0,,
2022/9/1,1B0,14,8993.0,,
2022/3/10,1B0,15,6323.0,3.0,16_54_76
2022/4/20,1B0,15,7116.0,3.0,47_87_107
2022/4/28,1B0,15,7255.0,3.0,15_74_104
2022/4/7,1B0,15,6889.0,3.0,14_38_56
2022/5/23,1B0,15,7699.0,3.0,26_51_58
2022/5/30,1B0,15,7829.0,3.0,5_43_109
2022/5/4,1B0,15,14700.0,3.0,55_77_98
2022/6/11,1B0,15,8064.0,3.0,6_19_57
2022/6/2,1B0,15,7896.0,,
2022/6/20,1B0,15,8214.0,3.0,30_93_108
2022/6/27,1B0,15,8337.0,3.0,13_45_106
2022/6/30,1B0,15,8368.0,,
2022/7/14,1B0,15,8522.0,3.0,2_25_100
2022/7/30,1B0,15,8721.0,,
2022/8/15,1B0,15,17731.0,3.0,10_53_94
2022/8/30,1B0,15,9045.0,3.0,49_60_96
2022/9/1,1B0,15,8996.0,,
2022/2/3,1B0,16,5654.0,3.0,55_21_62
2022/3/26,1B0,16,6661.0,3.0,27_108_109
2022/4/22,1B0,16,7155.0,3.0,43_83_79
2022/5/2,1B0,16,7330.0,3.0,81_96_110
2022/5/23,1B0,16,7713.0,2.0,53_119
2022/5/4,1B0,16,7359.0,,
2022/6/18,1B0,16,8214.0,3.0,15_31_105
2022/6/2,1B0,16,7918.0,,
2022/6/30,1B0,16,8424.0,,
2022/6/6,1B0,16,7994.0,3.0,66_102_106
2022/7/30,1B0,16,8777.0,,
2022/7/5,1B0,16,8462.0,3.0,8_32_45
2022/8/15,1B0,16,8930.0,,
2022/8/22,1B0,16,8967.0,3.0,7_65_67
2022/9/1,1B0,16,9050.0,,
2022/1/17,1B0,17,5334.0,2.0,42_47
2022/3/10,1B0,17,6353.0,3.0,13_45_100
2022/4/24,1B0,17,7220.0,3.0,58_17_101
2022/5/23,1B0,17,7749.0,3.0,21_111_119
2022/5/30,1B0,17,7877.0,3.0,19_31_46
2022/5/4,1B0,17,14809.0,3.0,40_102_17
2022/6/2,1B0,17,7938.0,,
2022/6/23,1B0,17,8338.0,3.0,41_60_68
2022/6/30,1B0,17,8448.0,,
2022/6/6,1B0,17,8014.0,3.0,20_80_98
2022/7/14,1B0,17,8592.0,3.0,26_38_55
2022/7/30,1B0,17,8790.0,,
2022/8/10,1B0,17,8853.0,3.0,24_65_85
2022/8/15,1B0,17,8926.0,,
2022/8/29,1B0,17,9036.0,1.0,104
2022/9/1,1B0,17,9061.0,,
2022/1/9,1B0,18,5007.0,3.0,47_50_120
2022/3/28,1B0,18,6581.0,3.0,34_78_90
2022/3/4,1B0,18,6076.0,3.0,2_13_52
2022/4/22,1B0,18,7018.0,3.0,56_66_75
2022/5/23,1B0,18,7579.0,3.0,50_70_119
2022/5/29,1B0,18,7689.0,3.0,47_92_98
2022/5/4,1B0,18,7229.0,,
2022/6/2,1B0,18,7771.0,,
2022/6/30,1B0,18,8287.0,,
2022/7/30,1B0,18,8627.0,,
2022/7/5,1B0,18,8318.0,3.0,53_58_63
2022/8/15,1B0,18,17521.0,3.0,71_73_55
2022/9/1,1B0,18,8907.0,,
2022/5/4,1B0,19,2702.0,,
2022/6/2,1B0,19,3292.0,,
2022/6/30,1B0,19,3805.0,,
2022/7/30,1B0,19,8222.0,3.0,40_100_113
2022/8/15,1B0,19,4293.0,,
2022/9/1,1B0,19,4435.0,,
2002/5/14,1C0,1,6827.0,2.0,5_96
2022/1/25,1C0,1,5279.0,1.0,12
2022/1/29,1C0,1,5312.0,1.0,25
2022/1/4,1C0,1,4878.0,2.0,9_81
2022/2/10,1C0,1,5497.0,1.0,15
2022/2/17,1C0,1,5520.0,2.0,6_19
2022/2/27,1C0,1,5601.0,2.0,80_116
2022/2/3,1C0,1,5414.0,2.0,41_74
2022/3/15,1C0,1,6532.0,2.0,42_93
2022/3/23,1C0,1,6052.0,1.0,105
2022/3/26,1C0,1,6054.0,2.0,54_121
2022/3/31,1C0,1,6157.0,2.0,55_57
2022/4/18,1C0,1,6432.0,2.0,17_104
2022/4/20,1C0,1,6467.0,2.0,75_36
2022/4/22,1C0,1,6479.0,2.0,72_89
2022/4/3,1C0,1,6194.0,2.0,68_76
2022/5/16,1C0,1,6868.0,2.0,77_92
2022/5/19,1C0,1,6916.0,1.0,30
2022/5/2,1C0,1,6633.0,1.0,109
2022/5/21,1C0,1,6951.0,2.0,28_79
2022/5/25,1C0,1,7015.0,2.0,10_13
2022/5/28,1C0,1,7079.0,1.0,46
2022/5/4,1C0,1,6661.0,,
2022/5/6,1C0,1,6691.0,2.0,34_50
2022/6/17,1C0,1,7440.0,1.0,83
2022/6/2,1C0,1,7180.0,,
2022/6/20,1C0,1,7484.0,1.0,16
2022/6/27,1C0,1,7595.0,1.0,44
2022/6/30,1C0,1,7628.0,,
2022/6/6,1C0,1,7247.0,1.0,107
2022/6/7,1C0,1,7267.0,2.0,22_69
2022/7/18,1C0,1,7053.0,2.0,4_9
2022/7/30,1C0,1,15823.0,1.0,59
2022/7/5,1C0,1,7670.0,2.0,102_111
2022/7/7,1C0,1,8606.0,1.0,27
2022/8/15,1C0,1,8050.0,,
2022/8/19,1C0,1,8054.0,2.0,9_100
2022/8/6,1C0,1,7938.0,2.0,87_106
2022/9/1,1C0,1,8185.0,,
2022/1/17,1C0,2,5420.0,2.0,67_72
2022/2/10,1C0,2,5861.0,2.0,108_47
2022/2/3,1C0,2,5758.0,2.0,59_26
2022/3/15,1C0,2,5891.0,2.0,85_92
2022/4/20,1C0,2,7184.0,2.0,83_113
2022/4/24,1C0,2,7253.0,2.0,70_76
2022/4/28,1C0,2,7317.0,2.0,100_114
2022/5/16,1C0,2,7637.0,2.0,87_102
2022/5/26,1C0,2,7815.0,2.0,56_58
2022/5/4,1C0,2,7432.0,,
2022/5/9,1C0,2,7506.0,2.0,42_74
2022/6/11,1C0,2,8123.0,2.0,19_43
2022/6/17,1C0,2,8229.0,1.0,6
2022/6/2,1C0,2,7957.0,,
2022/6/20,1C0,2,8260.0,2.0,13_28
2022/6/23,1C0,2,8295.0,1.0,40
2022/6/27,1C0,2,8357.0,1.0,33
2022/6/30,1C0,2,8389.0,,
2022/6/4,1C0,2,7971.0,2.0,10_16
2022/7/30,1C0,2,262.0,,
2022/7/4,1C0,2,8406.0,2.0,12_32
2022/8/15,1C0,2,413.0,,
2022/9/1,1C0,2,556.0,,
2021/12/27,1C0,3,4699.0,2.0,45_91
2022/1/17,1C0,3,5095.0,2.0,81_120
2022/3/28,1C0,3,6850.0,2.0,47_89
2022/4/18,1C0,3,6874.0,2.0,41_79
2022/5/18,1C0,3,7428.0,2.0,6_117
2022/5/2,1C0,3,7129.0,2.0,15_117
2022/5/23,1C0,3,7504.0,2.0,26_36
2022/5/31,1C0,3,7654.0,3.0,21_94_120
2022/5/4,1C0,3,7158.0,,
2022/5/6,1C0,3,7483.0,2.0,98_104
2022/6/14,1C0,3,7911.0,2.0,58_116
2022/6/2,1C0,3,7700.0,,
2022/6/24,1C0,3,8086.0,3.0,2_81_111
2022/6/30,1C0,3,8164.0,,
2022/7/30,1C0,3,150.0,,
2022/8/15,1C0,3,200.0,,
2022/9/1,1C0,3,347.0,,
2022/2/17,1C0,4,5949.0,2.0,78_98
2022/2/3,1C0,4,5685.0,2.0,30_33
2022/3/26,1C0,4,6622.0,2.0,76_83
2022/3/4,1C0,4,6177.0,2.0,14_24
2022/3/7,1C0,4,6214.0,2.0,8_96
2022/4/18,1C0,4,715.0,2.0,81_119
2022/5/11,1C0,4,7425.0,2.0,26_92
2022/5/2,1C0,4,7261.0,2.0,43_74
2022/5/21,1C0,4,7616.0,2.0,45_82
2022/5/25,1C0,4,7690.0,2.0,20_25
2022/5/30,1C0,4,7787.0,2.0,40_73
2022/5/4,1C0,4,7288.0,,
2022/6/2,1C0,4,7849.0,,
2022/6/20,1C0,4,8154.0,2.0,108_118
2022/6/27,1C0,4,8262.0,1.0,36
2022/6/30,1C0,4,8294.0,,
2022/6/6,1C0,4,7899.0,2.0,65_120
2022/7/16,1C0,4,8482.0,2.0,48_100
2022/7/30,1C0,4,17102.0,2.0,10_41
2022/7/8,1C0,4,8394.0,2.0,3_15
2022/8/15,1C0,4,8720.0,,
2022/9/1,1C0,4,8849.0,,
2022/1/14,1C0,5,4973.0,2.0,27_45
2022/2/10,1C0,5,5403.0,2.0,58_105
2022/3/26,1C0,5,6216.0,2.0,121_98
2022/4/16,1C0,5,7178.0,2.0,119_106
2022/5/13,1C0,5,7639.0,1.0,87
2022/5/21,1C0,5,7797.0,1.0,41
2022/5/23,1C0,5,7836.0,2.0,63_68
2022/5/31,1C0,5,7983.0,2.0,17_31
2022/5/4,1C0,5,7516.0,,
2022/5/6,1C0,5,7540.0,2.0,72_104
2022/6/11,1C0,5,8221.0,1.0,117
2022/6/16,1C0,5,8302.0,2.0,78_82
2022/6/2,1C0,5,8031.0,,
2022/6/25,1C0,5,8472.0,2.0,34_66
2022/6/30,1C0,5,8534.0,,
2022/7/14,1C0,5,8624.0,2.0,27_79
2022/7/30,1C0,5,267.0,,
2022/7/7,1C0,5,8611.0,2.0,44_50
2022/8/15,1C0,5,409.0,,
2022/9/1,1C0,5,539.0,,
2022/1/29,1C0,6,5534.0,2.0,47_121
2022/2/17,1C0,6,5815.0,2.0,49_89
2022/3/21,1C0,6,6456.0,2.0,50_51
2022/3/28,1C0,6,6610.0,2.0,117_106
2022/4/11,1C0,6,6828.0,2.0,28_38
2022/4/28,1C0,6,7075.0,2.0,69_76
2022/5/21,1C0,6,7509.0,2.0,6_66
2022/5/24,1C0,6,7556.0,2.0,110_116
2022/5/4,1C0,6,7186.0,,
2022/5/6,1C0,6,7236.0,2.0,73_107
2022/6/14,1C0,6,7955.0,2.0,78_102
2022/6/2,1C0,6,7739.0,,
2022/6/25,1C0,6,8149.0,2.0,81_83
2022/6/29,1C0,6,8193.0,1.0,36
2022/6/30,1C0,6,8194.0,,
2022/6/8,1C0,6,7842.0,2.0,34_98
2022/7/30,1C0,6,16879.0,2.0,65_109
2022/7/4,1C0,6,8204.0,2.0,101_115
2022/7/7,1C0,6,8235.0,1.0,79
2022/8/15,1C0,6,8582.0,,
2022/8/24,1C0,6,8641.0,2.0,19_41
2022/8/31,1C0,6,8698.0,2.0,26_68
2022/8/6,1C0,6,8483.0,2.0,27_104
2022/9/1,1C0,6,8698.0,,
2022/2/17,1C0,7,5848.0,2.0,25_92
2022/3/7,1C0,7,6198.0,2.0,27_65
2022/4/16,1C0,7,6962.0,2.0,76_4
2022/5/2,1C0,7,7225.0,2.0,30_53
2022/5/31,1C0,7,7789.0,2.0,42_66
2022/5/4,1C0,7,7252.0,,
2022/6/10,1C0,7,7983.0,1.0,31
2022/6/14,1C0,7,8052.0,2.0,11_60
2022/6/17,1C0,7,8099.0,2.0,109_117
2022/6/2,1C0,7,7833.0,,
2022/6/30,1C0,7,8312.0,,
2022/7/16,1C0,7,8096.0,2.0,91_106
2022/7/30,1C0,7,8644.0,,
2022/8/15,1C0,7,8782.0,,
2022/8/22,1C0,7,8796.0,1.0,119
2022/9/1,1C0,7,8883.0,,
2022/1/29,1C0,8,5380.0,2.0,11_102
2022/3/31,1C0,8,6627.0,2.0,84_96
2022/4/11,1C0,8,6788.0,2.0,6_49
2022/5/2,1C0,8,7107.0,2.0,68_97
2022/5/23,1C0,8,7466.0,1.0,119
2022/5/25,1C0,8,7499.0,1.0,78
2022/5/4,1C0,8,7133.0,,
2022/6/16,1C0,8,7887.0,2.0,3_82
2022/6/2,1C0,8,7658.0,,
2022/6/23,1C0,8,8008.0,1.0,104
2022/6/30,1C0,8,8113.0,,
2022/6/6,1C0,8,7706.0,1.0,21
2022/7/14,1C0,8,8255.0,2.0,12_100
2022/7/30,1C0,8,150.0,,
2022/8/15,1C0,8,174.0,,
2022/8/19,1C0,8,181.0,2.0,41_43
2022/9/1,1C0,8,283.0,,
2055/5/27,1C0,8,7531.0,1.0,58
2022/2/10,1C0,9,5484.0,2.0,68_121
2022/3/21,1C0,9,6264.0,2.0,47_92
2022/5/28,1C0,9,7540.0,2.0,38_79
2022/5/31,1C0,9,7588.0,2.0,24_106
2022/5/4,1C0,9,7080.0,,
2022/6/2,1C0,9,15220.0,2.0,28_41
2022/6/23,1C0,9,8011.0,2.0,45_58
2022/6/30,1C0,9,8115.0,,
2022/7/18,1C0,9,7053.0,2.0,2_104
2022/7/30,1C0,9,8416.0,,
2022/7/7,1C0,9,8181.0,2.0,19_119
2022/8/15,1C0,9,17000.0,2.0,40_76
2022/8/24,1C0,9,8547.0,1.0,36
2022/8/6,1C0,9,8444.0,2.0,74_106
2022/9/1,1C0,9,8602.0,,
2022/2/11,1C0,10,5457.0,2.0,103_100
2022/4/28,1C0,10,6885.0,2.0,48_89
2022/4/3,1C0,10,6492.0,2.0,41_98
2022/5/2,1C0,10,6942.0,1.0,67
2022/5/31,1C0,10,7420.0,2.0,47_78
2022/5/4,1C0,10,6968.0,,
2022/5/9,1C0,10,7009.0,2.0,100_117
2022/6/2,1C0,10,7463.0,,
2022/6/20,1C0,10,7786.0,2.0,51_92
2022/6/30,1C0,10,7945.0,,
2022/7/16,1C0,10,7980.0,2.0,84_96
2022/7/30,1C0,10,8254.0,,
2022/7/4,1C0,10,7950.0,2.0,105_119
2022/8/10,1C0,10,8324.0,2.0,13_65
2022/8/15,1C0,10,8382.0,,
2022/9/1,1C0,10,8495.0,,
2022/1/9,1C0,11,4598.0,2.0,98_97
2022/2/17,1C0,11,5374.0,2.0,39_89
2022/3/28,1C0,11,6174.0,2.0,15_111
2022/3/7,1C0,11,5722.0,2.0,6_87
2022/4/18,1C0,11,6532.0,2.0,13_116
2022/4/29,1C0,11,6713.0,2.0,38_24
2022/5/13,1C0,11,6956.0,2.0,12_21
2022/5/19,1C0,11,7070.0,2.0,21_117
2022/5/4,1C0,11,13619.0,2.0,10_23
2022/6/18,1C0,11,7633.0,2.0,113_115
2022/6/2,1C0,11,7337.0,,
2022/6/30,1C0,11,7833.0,,
2022/7/16,1C0,11,8175.0,2.0,66_76
2022/7/30,1C0,11,8135.0,,
2022/7/5,1C0,11,7864.0,2.0,17_101
2022/8/15,1C0,11,8231.0,,
2022/8/6,1C0,11,8137.0,2.0,60_78
2022/9/1,1C0,11,8346.0,,
2022/1/14,1C0,12,4930.0,2.0,46_80
2022/3/26,1C0,12,6329.0,2.0,77_81
2022/5/13,1C0,12,7174.0,2.0,34_98
