日期,oven_id,layer_id,壞掉燈管數(低功率),壞掉燈管數(高功率),進水量,進水溫,出水溫,水冷板A溫度,水冷板B溫度,累積時數,燈管功率(低功率),燈管功率(高功率)
2021/12/27,1C0,13,0,0,12,23.4,24.1,29.2,27.4,4929,57.5,61.5
2021/12/27,1C0,14,0,0,12,23.4,24.1,28.1,28.1,4571,57.5,61.5
2021/12/27,1C0,15,0,0,12,23.4,24.1,30.5,27.8,4655,57.5,61.5
2021/12/27,1C0,16,0,0,12,23.4,24.1,28,27.4,0,35,39
2021/12/27,1C0,17,0,0,12,23.4,24.1,26.6,25.3,4666,57.5,61.5
2021/12/27,1C0,18,0,0,12,23.4,24.1,27.1,26,4541,57.5,61.5
2021/12/27,1C0,19,0,0,12,23.4,24.1,27.2,25,4459,57.5,61.5
2021/12/27,1D0,1,0,0,10,22.6,23.5,23.8,23.8,4261,55.5,59.5
2021/12/27,1D0,2,0,0,10,22.6,23.5,22.9,23.6,4533,57.5,61.5
2021/12/27,1D0,3,0,0,10,22.6,23.5,24,24.4,4456,57.5,61.5
2021/12/27,1D0,4,0,0,10,22.6,23.5,24.1,24.8,4510,57.5,61.5
2021/12/27,1D0,5,0,0,10,22.6,23.5,25.6,24.4,4368,55.5,59.5
2021/12/27,1D0,6,0,0,10,22.6,23.5,25,25,4290,55.5,59.5
2021/12/27,1D0,7,0,0,10,22.6,23.5,25.2,25.6,4286,55.5,59.5
2021/12/27,1D0,8,0,0,10,22.6,23.5,25.7,25,3838,55,59
2021/12/27,1D0,9,0,0,10,22.6,23.5,24.5,24.4,4211,55.5,59.5
2021/12/27,1D0,10,0,0,11,22.6,23.5,27.4,26.2,4156,55.5,59.5
2021/12/27,1D0,11,0,0,11,19.5,23.6,26.3,26.6,4069,55.5,59.5
2021/12/27,1D0,12,0,0,11,19.5,23.6,27.4,26.4,3495,54,58
2021/12/27,1D0,13,0,0,11,19.5,23.6,27.5,26.7,4001,55.5,59.5
2021/12/27,1D0,14,1,0,11,19.5,23.6,26.5,26.7,3241,53.5,57.5
2021/12/27,1D0,15,0,0,11,19.5,23.6,26.6,27.3,3890,55,59
2021/12/27,1D0,16,0,0,11,19.5,23.6,25.4,26,3689,54.5,58.5
2021/12/27,1D0,17,0,0,11,19.5,23.6,27.1,26.9,3921,55,59
2021/12/27,1D0,18,0,0,11,19.5,23.6,25.9,26.9,3728,54.5,58.5
2021/12/27,1D0,19,0,0,11,19.5,23.6,27.5,26.8,4025,55.5,59.5
2021/12/27,1E0,1,1,0,12,19.7,24,24.9,24,4138,55.5,59.5
2021/12/27,1E0,2,0,0,12,19.7,24,24,26,3981,55,59
2021/12/27,1E0,3,0,0,12,19.7,24,24.9,25.2,4170,55.5,59.5
2021/12/27,1E0,4,0,0,12,19.7,24,25.4,24.6,3836,55,59
2021/12/27,1E0,5,0,0,12,19.7,24,26.1,25.4,4083,55.5,59.5
2021/12/27,1E0,6,0,0,12,19.7,24,25.4,25.5,3954,55,59
2021/12/27,1E0,7,0,0,12,19.7,24,25,26.5,0,35,39
2021/12/27,1E0,8,1,0,12,19.7,24,26,25.7,3818,55,59
2021/12/27,1E0,9,0,0,11,19.7,24,25.6,26.1,3756,54.5,58.5
2021/12/27,1E0,10,0,0,11,19.7,24,25.1,24.9,0,35,39
2021/12/27,1E0,11,0,0,11,19.8,23.8,25.5,26.2,3404,54,58
2021/12/27,1E0,12,0,0,11,19.8,23.8,25.6,25.5,3516,54,58
2021/12/27,1E0,13,0,0,11,19.8,23.8,25.6,27,3351,53.5,57.5
2021/12/27,1E0,14,0,0,11,19.8,23.8,25.5,25.2,3348,53.5,57.5
2021/12/27,1E0,15,0,0,11,19.8,23.8,26.6,25.8,2831,52.5,56.5
2021/12/27,1E0,16,0,0,11,19.8,23.8,26,26.4,3320,53.5,57.5
2021/12/27,1E0,17,0,0,11,19.8,23.8,25.7,25.2,3522,54,58
2021/12/27,1E0,18,0,0,11,19.8,23.8,25.8,25.5,3117,53,57
2021/12/27,1E0,19,0,0,11,19.8,23.8,25.2,23.8,3243,53.5,57.5
2021/12/27,1G0,1,0,0,9,21,27.1,26.6,25.9,0,35,39
2021/12/27,1G0,2,0,0,9,21,27.1,25.4,25.7,0,35,39
2021/12/27,1G0,3,0,0,9,21,27.1,24.8,25.7,0,35,39
2021/12/27,1G0,4,0,0,9,21,27.1,25.7,25,0,35,39
2021/12/27,1G0,5,0,0,9,21,27.1,25.6,26,0,35,39
2021/12/27,1G0,6,0,0,9,21,27.1,26.3,25.9,0,35,39
2021/12/27,1G0,7,0,0,9,21,27.1,26.1,27.7,0,35,39
2021/12/27,1G0,8,0,0,9,21,27.1,27.1,28.2,0,35,39
2021/12/27,1G0,9,0,0,9,21,27.1,28,28.7,0,35,39
2021/12/27,1G0,10,0,0,11,21,27.1,29.5,28.8,0,35,39
2021/12/27,1G0,11,0,0,11,22,30.1,29.3,28.4,0,35,39
2021/12/27,1G0,12,0,0,11,22,30.1,29.4,28.2,0,35,39
2021/12/27,1G0,13,0,0,11,22,30.1,28.9,29.9,0,35,39
2021/12/27,1G0,14,0,0,11,22,30.1,29.3,27.2,0,35,39
2021/12/27,1G0,15,0,0,11,22,30.1,28.5,27.5,0,35,39
2021/12/27,1G0,16,0,0,11,22,30.1,27.9,26.7,0,35,39
2021/12/27,1G0,17,0,0,11,22,30.1,28.7,29.3,0,35,39
2021/12/27,1G0,18,0,0,11,22,30.1,29.5,26.9,0,35,39
2021/12/27,1G0,19,0,0,11,22,30.1,29.5,27,0,35,39
2021/12/27,2B0,1,0,0,10,20.1,23.3,22.2,22.6,3364,53.5,57.5
2021/12/27,2B0,2,0,0,10,20.1,23.3,22.6,22.4,3369,53.5,57.5
2021/12/27,2B0,3,0,0,10,20.1,23.3,23.4,23.5,3525,54,58
2021/12/27,2B0,4,0,0,10,20.1,23.3,23.1,22.4,3151,53,57
2021/12/27,2B0,5,0,0,10,20.1,23.3,24,23.2,0,35,39
2021/12/27,2B0,6,0,0,10,20.1,23.3,23,23,2574,51.5,55.5
2021/12/27,2B0,7,0,0,10,20.1,23.3,24.1,24.4,3191,53,57
2021/12/27,2B0,8,0,0,10,20.1,23.3,23.1,24.3,3356,53.5,57.5
2021/12/27,2B0,9,0,0,10,20.1,23.3,23.6,24.2,3269,53.5,57.5
2021/12/27,2B0,10,0,0,11,20.1,23.3,22.7,23.8,3122,53,57
2021/12/27,2B0,11,0,0,11,21,24.5,23.5,24,2827,52.5,56.5
2021/12/27,2B0,12,0,0,11,21,24.5,22.9,23.9,3054,53,57
2021/12/27,2B0,13,0,0,11,21,24.5,23.3,23.1,2767,52,56
2021/12/27,2B0,14,0,0,11,21,24.5,22.7,23.5,3212,53.5,57.5
2021/12/27,2B0,15,0,0,11,21,24.5,22.7,22.7,1552,49,53
2021/12/27,2B0,16,0,0,11,21,24.5,22.9,22.6,2989,52.5,56.5
2021/12/27,2B0,17,0,0,11,21,24.5,22.7,22.7,3181,53,57
2021/12/27,2B0,18,0,0,11,21,24.5,22.6,22.7,3268,53.5,57.5
2021/12/27,2B0,19,0,0,11,21,24.5,22.9,25.9,3103,53,57
2021/12/27,2C0,1,0,0,11,19.5,24.4,24.3,25.3,3334,53.5,57.5
2021/12/27,2C0,2,0,0,11,19.5,24.4,23.5,24.6,2488,51.5,55.5
2021/12/27,2C0,3,0,0,11,19.5,24.4,24.4,24.1,3259,53.5,57.5
2021/12/27,2C0,4,0,0,11,19.5,24.4,23.6,24.6,0,35,39
2021/12/27,2C0,5,0,0,11,19.5,24.4,23.9,24.5,3296,53.5,57.5
2021/12/27,2C0,6,0,0,11,19.5,24.4,24.2,24.6,2949,52.5,56.5
2021/12/27,2C0,7,0,0,11,19.5,24.4,24.3,24.6,0,35,39
2021/12/27,2C0,8,0,0,11,19.5,24.4,24.1,24.7,3291,53.5,57.5
2021/12/27,2C0,9,0,0,11,19.5,24.4,24.9,24.4,0,35,39
2021/12/27,2C0,10,0,0,11,19.5,24.4,25,25,0,35,39
2021/12/27,2C0,11,0,0,10,19.5,25.1,25,24.9,3110,53,57
2021/12/27,2C0,12,0,0,10,19.5,25.1,25.1,25.2,3139,53,57
2021/12/27,2C0,13,0,0,10,19.5,25.1,25.2,25.3,0,35,39
2021/12/27,2C0,14,0,0,10,19.5,25.1,25.2,24.5,0,35,39
2021/12/27,2C0,15,0,0,10,19.5,25.1,25,24.9,0,35,39
2021/12/27,2C0,16,0,0,10,19.5,25.1,24.7,24.6,3105,53,57
2021/12/27,2C0,17,0,0,10,19.5,25.1,25,24.9,3325,53.5,57.5
2021/12/27,2C0,18,0,0,10,19.5,25.1,24.9,24.5,0,35,39
2021/12/27,2C0,19,0,0,10,19.5,25.1,23.6,24.5,3002,53,57
2021/12/27,2D0,1,0,0,10,19.6,24.6,22.8,24.3,2991,52.5,56.5
2021/12/27,2D0,2,0,0,10,19.6,24.6,23,23.5,3484,54,58
2021/12/27,2D0,3,0,0,10,19.6,24.6,23.5,23.6,0,35,39
2021/12/27,2D0,4,0,0,10,19.6,24.6,23.5,23.7,2337,51,55
2021/12/27,2D0,5,0,0,10,19.6,24.6,23.5,23.8,0,35,39
2021/12/27,2D0,6,0,0,10,19.6,24.6,23.8,24.5,0,35,39
2021/12/27,2D0,7,0,0,10,19.6,24.6,23.4,24,3026,53,57
2021/12/27,2D0,8,0,0,10,19.6,24.6,23.7,23.6,0,35,39
2021/12/27,2D0,9,0,0,10,19.6,24.6,23.7,23.7,0,35,39
2021/12/27,2D0,10,0,0,10,19.6,24.6,23.9,23.2,0,35,39
2021/12/27,2D0,11,0,0,10,19.9,25.3,24.4,25.1,3018,53,57
2021/12/27,2D0,12,0,0,11,19.9,25.3,24,24.6,0,35,39
2021/12/27,2D0,13,0,0,10,19.9,25.3,25.3,24.9,0,35,39
2021/12/27,2D0,14,0,0,10,19.9,25.3,25,25.9,0,35,39
2021/12/27,2D0,15,0,0,10,19.9,25.3,25,25.9,0,35,39
2021/12/27,2D0,16,0,0,10,19.9,25.3,24.3,25.3,0,35,39
2021/12/27,2D0,17,0,0,10,19.9,25.3,25,26,0,35,39
2021/12/27,2D0,18,0,0,10,19.9,25.3,24.2,26,0,35,39
2021/12/27,2D0,19,0,0,10,19.9,25.3,25.1,25.2,0,35,39
2021/12/27,2E0,1,0,0,11,20.9,23.7,22.3,24.2,0,35,39
2021/12/27,2E0,2,0,0,11,20.9,23.7,21.6,22.9,0,35,39
2021/12/27,2E0,3,0,0,11,20.9,23.7,23.2,23.3,0,35,39
2021/12/27,2E0,4,0,0,11,20.9,23.7,22.5,24,2655,52,56
2021/12/27,2E0,5,0,0,11,20.9,23.7,24.1,23.3,2625,52,56
2021/12/27,2E0,6,0,0,11,20.9,23.7,22.9,23.8,0,35,39
2021/12/27,2E0,7,0,0,11,20.9,23.7,24.2,23.4,2338,51,55
2021/12/27,2E0,8,0,0,11,20.9,23.7,23.6,24.2,2506,51.5,55.5
2021/12/27,2E0,9,0,0,11,20.9,23.7,23.7,23.3,2378,51,55
2021/12/27,2E0,10,0,0,11,20.9,23.7,23.9,23.8,2390,51,55
2021/12/27,2E0,11,0,0,11,21.1,25.1,24.1,23.1,1989,50,54
2021/12/27,2E0,12,0,0,11,21.1,25.1,24.5,23.3,1710,49.5,53.5
2021/12/27,2E0,13,0,0,11,21.1,25.1,24.2,23.3,0,35,39
2021/12/27,2E0,14,0,0,11,21.1,25.1,24.3,23.8,0,35,39
2021/12/27,2E0,15,0,0,11,21.1,25.1,24.1,24.3,0,35,39
2021/12/27,2E0,16,0,0,11,21.1,25.1,24.4,24.6,0,35,39
2021/12/27,2E0,17,0,0,11,21.1,25.1,23.8,24.9,0,35,39
2021/12/27,2E0,18,0,0,11,21.1,25.1,23.7,24.5,0,35,39
2021/12/27,2E0,19,0,0,11,21.1,25.1,24.4,24.3,0,35,39
2021/12/27,2G0,1,0,0,10,21.2,25.2,22.7,24.4,0,35,39
2021/12/27,2G0,2,0,0,10,21.2,25.2,22.6,22.8,0,35,39
2021/12/27,2G0,3,0,0,10,21.2,25.2,23.4,23,0,35,39
2021/12/27,2G0,4,0,0,10,21.2,25.2,23.5,23.2,0,35,39
2021/12/27,2G0,5,0,0,10,21.2,25.2,23.6,23.2,0,35,39
2021/12/27,2G0,6,0,0,10,21.2,25.2,23.3,23.9,0,35,39
2021/12/27,2G0,7,0,0,10,21.2,25.2,23.8,24,0,35,39
2021/12/27,2G0,8,0,0,10,21.2,25.2,23.6,24.3,0,35,39
2021/12/27,2G0,9,0,0,10,21.2,25.2,23.8,23.9,0,35,39
2021/12/27,2G0,10,0,0,10,21.2,25.2,24.7,24.2,0,35,39
2021/12/27,2G0,11,0,0,10,21.1,26.3,24.7,24.2,0,35,39
2021/12/27,2G0,12,0,0,11,21.1,26.3,24.8,24.4,0,35,39
2021/12/27,2G0,13,0,0,11,21.1,26.3,24.2,25.2,0,35,39
2021/12/27,2G0,14,0,0,11,21.1,26.3,24.6,25.5,0,35,39
2021/12/27,2G0,15,0,0,10,21.1,26.3,23.3,24.6,0,35,39
2021/12/27,2G0,16,0,0,10,21.1,26.3,24,24.6,0,35,39
2021/12/27,2G0,17,0,0,10,21.1,26.3,23.5,24.4,0,35,39
2021/12/27,2G0,18,0,0,10,21.1,26.3,22.7,24,0,35,39
2021/12/27,2G0,19,0,0,10,21.1,26.3,24.9,24.8,0,35,39
2021/12/28,1B0,1,0,0,11,20.3,24.8,23.3,25.2,5377,59.5,63.5
2021/12/28,1B0,2,0,0,11,20.3,24.8,24.2,22.4,3838,55,59
2021/12/28,1B0,3,0,0,11,20.3,24.8,23.5,23.1,5485,59.5,63.5
2021/12/28,1B0,4,0,0,11,20.3,24.8,24.8,25.7,4698,57.5,61.5
2021/12/28,1B0,5,0,0,11,20.3,24.8,25.1,24.5,5137,59.5,63.5
2021/12/28,1B0,6,0,0,11,20.3,24.8,24.8,23.8,5040,59.5,63.5
2021/12/28,1B0,7,0,0,11,20.3,24.8,25.1,25.1,4875,57.5,61.5
2021/12/28,1B0,8,0,0,11,20.3,24.8,25,24.6,5273,59.5,63.5
2021/12/28,1B0,9,0,0,9,20.3,24.8,27.9,26.9,4899,57.5,61.5
2021/12/28,1B0,10,0,0,11,20.3,24.8,26.1,25.9,5080,59.5,63.5
2021/12/28,1B0,11,0,0,11,20,24.6,29.6,25.9,5094,59.5,63.5
2021/12/28,1B0,12,0,0,11,20,24.6,26.9,25.9,4993,57.5,61.5
2021/12/28,1B0,13,0,0,11,20,24.6,27.7,27,6436,63.5,67.5
2021/12/28,1B0,14,0,0,11,20,24.6,27.7,25.8,4920,57.5,61.5
2021/12/28,1B0,15,0,0,11,20,24.6,26.2,27,4979,57.5,61.5
2021/12/28,1B0,16,0,0,11,20,24.6,26.9,26.6,4953,57.5,61.5
2021/12/28,1B0,17,0,0,11,20,24.6,30.9,26.8,4947,57.5,61.5
2021/12/28,1B0,18,0,0,11,20,24.6,25.6,27.2,4775,57.5,61.5
2021/12/28,1B0,19,0,0,11,20,24.6,26.9,27.2,0,35,39
2021/12/28,1C0,1,0,0,11,22.8,25.5,24.2,23,4774,57.5,61.5
2021/12/28,1C0,2,0,0,11,22.8,25.5,23.1,24,5044,59.5,63.5
2021/12/28,1C0,3,0,0,11,22.8,25.5,24.9,24.3,4718,57.5,61.5
2021/12/28,1C0,4,0,0,11,22.8,25.5,24,24.9,5026,59.5,63.5
2021/12/28,1C0,5,0,0,11,22.8,25.5,24.5,24.3,4580,57.5,61.5
2021/12/28,1C0,6,0,0,11,22.8,25.5,25.3,25.4,4978,57.5,61.5
2021/12/28,1C0,7,0,0,11,22.8,25.5,24.3,25.2,4906,57.5,61.5
2021/12/28,1C0,8,0,0,11,22.8,25.5,24.7,25.2,4790,57.5,61.5
2021/12/28,1C0,9,0,0,10,22.8,25.5,24.7,25.2,4638,57.5,61.5
2021/12/28,1C0,10,0,0,12,22.8,25.5,25.6,25.4,4628,57.5,61.5
2021/12/28,1C0,11,0,0,12,23.4,24.1,25.2,25.9,4368,55.5,59.5
2021/12/28,1C0,12,0,0,12,23.4,24.1,25.2,25,4606,57.5,61.5
2021/12/28,1C0,13,0,0,12,23.4,24.1,29.2,27.4,4946,57.5,61.5
2021/12/28,1C0,14,0,0,12,23.4,24.1,28.1,28.1,4590,57.5,61.5
2021/12/28,1C0,15,0,0,12,23.4,24.1,30.5,27.8,4673,57.5,61.5
2021/12/28,1C0,16,0,0,12,23.4,24.1,28,27.4,0,35,39
2021/12/28,1C0,17,0,0,12,23.4,24.1,26.6,25.3,4684,57.5,61.5
2021/12/28,1C0,18,0,0,12,23.4,24.1,27.1,26,4559,57.5,61.5
2021/12/28,1C0,19,0,0,12,23.4,24.1,27.2,25,4478,57.5,61.5
2021/12/28,1D0,1,0,0,10,22.6,23.5,23.8,23.8,4278,55.5,59.5
2021/12/28,1D0,2,0,0,10,22.6,23.5,22.9,23.6,4552,57.5,61.5
2021/12/28,1D0,3,0,0,10,22.6,23.5,24,24.4,4475,57.5,61.5
2021/12/28,1D0,4,0,0,10,22.6,23.5,24.1,24.8,4527,57.5,61.5
2021/12/28,1D0,5,0,0,10,22.6,23.5,25.6,24.4,4386,55.5,59.5
2021/12/28,1D0,6,0,0,10,22.6,23.5,25,25,4308,55.5,59.5
2021/12/28,1D0,7,0,0,10,22.6,23.5,25.2,25.6,4305,55.5,59.5
2021/12/28,1D0,8,0,0,10,22.6,23.5,25.7,25,3855,55,59
2021/12/28,1D0,9,0,0,10,22.6,23.5,24.5,24.4,4230,55.5,59.5
2021/12/28,1D0,10,0,0,11,22.6,23.5,27.4,26.2,4174,55.5,59.5
2021/12/28,1D0,11,0,0,11,19.5,23.6,26.3,26.6,4087,55.5,59.5
2021/12/28,1D0,12,0,0,11,19.5,23.6,27.4,26.4,3517,54,58
2021/12/28,1D0,13,0,0,11,19.5,23.6,27.5,26.7,4019,55.5,59.5
2021/12/28,1D0,14,0,0,11,19.5,23.6,26.5,26.7,3314,53.5,57.5
2021/12/28,1D0,15,0,0,11,19.5,23.6,26.6,27.3,3908,55,59
2021/12/28,1D0,16,0,0,11,19.5,23.6,25.4,26,3708,54.5,58.5
2021/12/28,1D0,17,0,0,11,19.5,23.6,27.1,26.9,3937,55,59
2021/12/28,1D0,18,0,0,11,19.5,23.6,25.9,26.9,3747,54.5,58.5
2021/12/28,1D0,19,0,0,11,19.5,23.6,27.5,26.8,4040,55.5,59.5
2021/12/28,1E0,1,0,0,12,19.7,24,24.9,24,4154,55.5,59.5
2021/12/28,1E0,2,0,0,12,19.7,24,24,26,4000,55,59
2021/12/28,1E0,3,0,0,12,19.7,24,24.9,25.2,4186,55.5,59.5
2021/12/28,1E0,4,0,0,12,19.7,24,25.4,24.6,3853,55,59
2021/12/28,1E0,5,0,0,12,19.7,24,26.1,25.4,4100,55.5,59.5
2021/12/28,1E0,6,0,0,12,19.7,24,25.4,25.5,3970,55,59
2021/12/28,1E0,7,0,0,12,19.7,24,25,26.5,0,35,39
2021/12/28,1E0,8,0,0,12,19.7,24,26,25.7,3833,55,59
2021/12/28,1E0,9,0,0,11,19.7,24,25.6,26.1,3773,54.5,58.5
2021/12/28,1E0,10,0,0,11,19.7,24,25.1,24.9,0,35,39
2021/12/28,1E0,11,0,0,11,19.8,23.8,25.5,26.2,3423,54,58
2021/12/28,1E0,12,0,0,11,19.8,23.8,25.6,25.5,3533,54,58
2021/12/28,1E0,13,0,0,11,19.8,23.8,25.6,27,3368,53.5,57.5
2021/12/28,1E0,14,0,0,11,19.8,23.8,25.5,25.2,3366,53.5,57.5
2021/12/28,1E0,15,0,0,11,19.8,23.8,26.6,25.8,2848,52.5,56.5
2021/12/28,1E0,16,0,0,11,19.8,23.8,26,26.4,3335,53.5,57.5
2021/12/28,1E0,17,0,0,11,19.8,23.8,25.7,25.2,3538,54,58
2021/12/28,1E0,18,0,0,11,19.8,23.8,25.8,25.5,3135,53,57
2021/12/28,1E0,19,0,0,11,19.8,23.8,25.2,23.8,3260,53.5,57.5
2021/12/28,1G0,1,0,0,9,21,27.1,26.6,25.9,0,35,39
2021/12/28,1G0,2,0,0,9,21,27.1,25.4,25.7,0,35,39
2021/12/28,1G0,3,0,0,9,21,27.1,24.8,25.7,0,35,39
2021/12/28,1G0,4,0,0,9,21,27.1,25.7,25,0,35,39
2021/12/28,1G0,5,0,0,9,21,27.1,25.6,26,0,35,39
2021/12/28,1G0,6,0,0,9,21,27.1,26.3,25.9,0,35,39
2021/12/28,1G0,7,0,0,9,21,27.1,26.1,27.7,0,35,39
2021/12/28,1G0,8,0,0,9,21,27.1,27.1,28.2,0,35,39
2021/12/28,1G0,9,0,0,9,21,27.1,28,28.7,0,35,39
2021/12/28,1G0,10,0,0,11,21,27.1,29.5,28.8,0,35,39
2021/12/28,1G0,11,0,0,11,22,30.1,29.3,28.4,0,35,39
2021/12/28,1G0,12,0,0,11,22,30.1,29.4,28.2,0,35,39
2021/12/28,1G0,13,0,0,11,22,30.1,28.9,29.9,0,35,39
2021/12/28,1G0,14,0,0,11,22,30.1,29.3,27.2,0,35,39
2021/12/28,1G0,15,0,0,11,22,30.1,28.5,27.5,0,35,39
2021/12/28,1G0,16,0,0,11,22,30.1,27.9,26.7,0,35,39
2021/12/28,1G0,17,0,0,11,22,30.1,28.7,29.3,0,35,39
2021/12/28,1G0,18,0,0,11,22,30.1,29.5,26.9,0,35,39
2021/12/28,1G0,19,0,0,11,22,30.1,29.5,27,0,35,39
2021/12/28,2B0,1,0,0,10,20.1,23.3,22.2,22.6,3384,53.5,57.5
2021/12/28,2B0,2,0,0,10,20.1,23.3,22.6,22.4,3388,53.5,57.5
2021/12/28,2B0,3,0,0,10,20.1,23.3,23.4,23.5,3543,54,58
2021/12/28,2B0,4,0,0,10,20.1,23.3,23.1,22.4,3171,53,57
2021/12/28,2B0,5,0,0,10,20.1,23.3,24,23.2,0,35,39
2021/12/28,2B0,6,0,0,10,20.1,23.3,23,23,2594,51.5,55.5
2021/12/28,2B0,7,0,0,10,20.1,23.3,24.1,24.4,3209,53.5,57.5
2021/12/28,2B0,8,0,0,10,20.1,23.3,23.1,24.3,3374,53.5,57.5
2021/12/28,2B0,9,0,0,10,20.1,23.3,23.6,24.2,3287,53.5,57.5
2021/12/28,2B0,10,0,0,11,20.1,23.3,22.7,23.8,3141,53,57
2021/12/28,2B0,11,0,0,11,21,24.5,23.5,24,2845,52.5,56.5
2021/12/28,2B0,12,0,0,11,21,24.5,22.9,23.9,3072,53,57
2021/12/28,2B0,13,0,0,11,21,24.5,23.3,23.1,2786,52,56
2021/12/28,2B0,14,0,0,11,21,24.5,22.7,23.5,3231,53.5,57.5
2021/12/28,2B0,15,0,0,11,21,24.5,22.7,22.7,1570,49,53
2021/12/28,2B0,16,0,0,11,21,24.5,22.9,22.6,3007,53,57
2021/12/28,2B0,17,0,0,11,21,24.5,22.7,22.7,3199,53,57
2021/12/28,2B0,18,0,0,11,21,24.5,22.6,22.7,3286,53.5,57.5
2021/12/28,2B0,19,0,0,11,21,24.5,22.9,25.9,3120,53,57
2021/12/28,2C0,1,0,0,11,19.5,24.4,24.3,25.3,3352,53.5,57.5
2021/12/28,2C0,2,0,0,11,19.5,24.4,23.5,24.6,2506,51.5,55.5
2021/12/28,2C0,3,0,0,11,19.5,24.4,24.4,24.1,3278,53.5,57.5
2021/12/28,2C0,4,0,0,11,19.5,24.4,23.6,24.6,0,35,39
2021/12/28,2C0,5,0,0,11,19.5,24.4,23.9,24.5,3314,53.5,57.5
2021/12/28,2C0,6,0,0,11,19.5,24.4,24.2,24.6,2969,52.5,56.5
2021/12/28,2C0,7,0,0,11,19.5,24.4,24.3,24.6,0,35,39
2021/12/28,2C0,8,0,0,11,19.5,24.4,24.1,24.7,3308,53.5,57.5
2021/12/28,2C0,9,0,0,11,19.5,24.4,24.9,24.4,0,35,39
2021/12/28,2C0,10,0,0,11,19.5,24.4,25,25,0,35,39
2021/12/28,2C0,11,0,0,10,19.5,25.1,25,24.9,3128,53,57
2021/12/28,2C0,12,0,0,10,19.5,25.1,25.1,25.2,3157,53,57
2021/12/28,2C0,13,0,0,10,19.5,25.1,25.2,25.3,0,35,39
2021/12/28,2C0,14,0,0,10,19.5,25.1,25.2,24.5,0,35,39
2021/12/28,2C0,15,0,0,10,19.5,25.1,25,24.9,0,35,39
2021/12/28,2C0,16,0,0,10,19.5,25.1,24.7,24.6,3122,53,57
2021/12/28,2C0,17,0,0,10,19.5,25.1,25,24.9,3341,53.5,57.5
2021/12/28,2C0,18,0,0,10,19.5,25.1,24.9,24.5,0,35,39
2021/12/28,2C0,19,0,0,10,19.5,25.1,23.6,24.5,3020,53,57
2021/12/28,2D0,1,0,0,10,19.6,24.6,22.8,24.3,3012,53,57
2021/12/28,2D0,2,0,0,10,19.6,24.6,23,23.5,3500,54,58
